| Process Id | Arrival Time | Burst Time | Completion Time | Turn Around Time | Waiting Time | Response Time |
|       5871 |          368 |          1 |             382 |               14 |           13 |            13 |
|       5930 |          295 |          1 |             298 |                3 |            2 |             2 |
|       6021 |           43 |          1 |              89 |               46 |           45 |            45 |
|       6037 |          549 |          1 |             550 |                1 |            0 |             0 |
|       6096 |          855 |          1 |             857 |                2 |            1 |             1 |
|       6112 |          441 |          1 |             446 |                5 |            4 |             4 |
|       6144 |          873 |          1 |             876 |                3 |            2 |             2 |
|       6192 |          875 |          1 |             878 |                3 |            2 |             2 |
|       6231 |          822 |          1 |             823 |                1 |            0 |             0 |
|       6365 |          259 |          1 |             261 |                2 |            1 |             1 |
|       6431 |          265 |          1 |             273 |                8 |            7 |             7 |
|       6574 |          647 |          1 |             659 |               12 |           11 |            11 |
|       6604 |          404 |          1 |             411 |                7 |            6 |             6 |
|       6610 |          859 |          1 |             870 |               11 |           10 |            10 |
|       6721 |          231 |          1 |             277 |               46 |           45 |            45 |
|       6803 |          756 |          1 |             760 |                4 |            3 |             3 |
|       6855 |          726 |          1 |             731 |                5 |            4 |             4 |
|       6907 |          544 |          1 |             546 |                2 |            1 |             1 |
|       6974 |          101 |          1 |             117 |               16 |           15 |            15 |
|       7049 |          877 |          1 |             884 |                7 |            6 |             6 |
|       7077 |          135 |          1 |             143 |                8 |            7 |             7 |
|       7082 |          612 |          1 |             633 |               21 |           20 |            20 |
|       7089 |          826 |          1 |             829 |                3 |            2 |             2 |
|       7276 |          415 |          1 |             421 |                6 |            5 |             5 |
|       7288 |          437 |          1 |             440 |                3 |            2 |             2 |
|       7422 |          302 |          1 |             307 |                5 |            4 |             4 |
|       7509 |          241 |          1 |             279 |               38 |           37 |            37 |
|       7644 |          112 |          1 |             127 |               15 |           14 |            14 |
|       7739 |          690 |          1 |             695 |                5 |            4 |             4 |
|       7956 |           84 |          1 |             129 |               45 |           44 |            44 |
|       8064 |          919 |          1 |             920 |                1 |            0 |             0 |
|       8364 |          324 |          1 |             342 |               18 |           17 |            17 |
|       8382 |          756 |          1 |             762 |                6 |            5 |             5 |
|       8388 |          512 |          1 |             513 |                1 |            0 |             0 |
|       8438 |          823 |          1 |             825 |                2 |            1 |             1 |
|       8774 |          122 |          1 |             145 |               23 |           22 |            22 |
|       8839 |          296 |          1 |             300 |                4 |            3 |             3 |
|       8943 |          622 |          1 |             637 |               15 |           14 |            14 |
|       8974 |          420 |          1 |             425 |                5 |            4 |             4 |
|       9003 |          979 |          1 |             981 |                2 |            1 |             1 |
|       9062 |          991 |          1 |             997 |                6 |            5 |             5 |
|       9123 |          801 |          1 |             802 |                1 |            0 |             0 |
|       9134 |           70 |          1 |             169 |               99 |           98 |            98 |
|       9147 |          186 |          1 |             211 |               25 |           24 |            24 |
|       9192 |          350 |          1 |             357 |                7 |            6 |             6 |
|       9250 |          106 |          1 |             217 |              111 |          110 |           110 |
|       9385 |          160 |          1 |             283 |              123 |          122 |           122 |
